"loc_id","loc_name","loc_nickname","address1","address2","city","state","zip","county_fips","geofips_tract","geofips_bg","pt_latitude","pt_longitude","crh_zone_name","crh_zone_id"
"1","Luther Social Services ChoicePantry - South Columbus","LSS Champion","1460 S CHAMPION AVE","","COLUMBUS","OH","43206","39049","39049005900","390490059003","39.93499292","-82.97110406","SSTC","4"
"2","Luther Social Services ChoicePantry - West Columbus","LSS West","82 N WILSON RD","","COLUMBUS","OH","43204","39049","39049008210","390490082102","39.95535396","-83.09418329","Hilltop","3"
"3","Luther Social Services ChoicePantry - Caldwell OH","LSS Caldwell","315 MAIN ST","","CALDWELL","OH","43724","39121","39121968400","391219684003","39.74678237","-81.51515905","",""
"4","Luther Social Services ChoicePantry - Fairfield Co.","LSS Lancaster","2045 E MAIN ST","","LANCASTER","OH","43130","39045","39045031300","390450313001","39.71601077","-82.55344969","",""
"6","Mid-Ohio Foodbank - Kroger Community Pantry","MOF Kroger Pantry","3960 BROOKHAM DR","","GROVE CITY","OH","43123","39049","39049009720","390490097204","39.88623520","-83.05538713","Grove City","9"
"7","Grove City Food Pantry and Emergency Services","Grove City Pantry","2710 COLUMBUS ST","","GROVE CITY","OH","43123","39049","39049009711","390490097112","39.88141144","-83.07530178","Grove City","9"
"8","Gladden Food Pantry","Gladden Pantry","318 S GLENWOOD AVE","","COLUMBUS","OH","43223","39049","39049005000","390490050002","39.95210397","-83.02903567","Franklinton","6"
"10","Southside Community Ministries Pantry","Southside Comm Min Pantry","225 E GATES ST","","COLUMBUS","OH","43206","39049","39049005810","390490058103","39.93738789","-82.98953659","German Villiage","31"
"11","Brice UMC Food Pantry","Far East Feeding Ministry","3160 Brice Road","","BRICE","OH","43109","39049","39049009374","390490093742","39.91374500","-82.83250762","Refugee Road","15"
"18","PCMA Food Pantry of Pickerington","PCMA Food Pantry of Pickerington","70 CROSS ST","","PICKERINGTON","OH","43147","39045","39045030600","390450306002","39.88586833","-82.75580366","",""
"29","Eakin Elementary School CIS BP","Eakin Elementary School CIS BP","3774 EAKIN RD","","COLUMBUS","OH","43228","39049","39049008311","390490083111","39.93943896","-83.09947566","Hilltop","3"
"43","Vaughn Hairston YMCA","Vaughn Hairston YMCA","3500 1ST AVE","","URBANCREST","OH","43123","39049","39049009600","390490096001","39.89960549","-83.08506605","Grove City","9"
"44","Weinland Park Elementary","Weinland Park Elementary","211 E 7TH AVE","","COLUMBUS","OH","43201","39049","39049001700","390490017003","39.98986031","-83.00045916","OSU & Surrounding Area","16"
"57","Pataskala LEADS","Pataskala LEADS","12536 ADAMS LN SW","","PATASKALA","OH","43062","39089","39089756500","390897565002","39.99748100","-82.72395790","",""
"58","2nd Presbyterian Church - Newark","2nd Presbyterian Church","42 E CHURCH ST","","NEWARK","OH","43055","39089","39089759000","390897590003","40.05971448","-82.40191782","",""
"59","Buckeye Lake LEADS","Buckeye Lake LEADS","5302 Walnut Road SW","","BUCKEYE LAKE","OH","43008","39089","39089758300","390897583001","39.93733300","-82.47632800","",""
"60","Market Street Pantry","Market Street Pantry","37 S 4th Street","","NEWARK","OH","43055","39089","39089759000","390897590003","40.05625704","-82.40388154","",""
"61","Adventist Community Services","Adventist Community Services","122 E MAIN ST","","NEWARK","OH","43055","39089","39089758900","390897589003","40.07885354","-82.26430051","",""
"62","The Open Pantry","Open Pantry","310 EVERETT AVE","","NEWARK","OH","43055","39089","39089752200","390897522004","40.06337711","-82.38806439","",""
"63","Wright Memorial UMC","Wright Memorial UMC","735 MOUNT VERNON RD","","NEWARK","OH","43055","39089","39089751600","390897516002","40.07661942","-82.41541417","",""
"66","Utica LEADS","Utica LEADS","308 W Main Street","","UTICA","OH","43080","39089","39089754700","390897547003","40.22853079","-82.45139635","",""
"72","New Hope Assembly of God Food Pantry","New Hope Assembly of God","2020 CINCINNATI ZANESVILLE RD SW","","LANCASTER","OH","43130","39045","39045032500","390450325001","39.69684102","-82.64212517","",""
"73","Christ United Methodist Church Pantry","Christ UMC Pantry","10 N CEDAR ST","","NEWARK","OH","43055","39089","39089757700","390897577001","40.07456739","-82.51650855","",""
"75","Dayspring Community Church Food Pantry","Dayspring Community Church Food Pantry","3919 BRICE RD","","CANAL WINCHESTER","OH","43110","39049","39049010200","390490102002","39.89181974","-82.83471800","Canal Winchester","23"
"80","St Philip Catholic Church Pantry","St Philip Catholic Church Pantry","1573 ELAINE RD","","COLUMBUS","OH","43227","39049","39049009323","390490093232","39.94181822","-82.88590344","Far East","5"
"81","Newark Nazarene - Firehouse Food Pantry","Newark Nazarene - Firehouse Food Pantry","71 MAHOLM ST","","NEWARK","OH","43055","39089","39089750700","390897507003","40.05093139","-82.42284722","",""
"82","Marne United Methodist Church","Marne UMC","1019 LICKING VALLEY RD","","NEWARK","OH","43055","39089","39089758900","390897589001","40.07169150","-82.29679040","",""
"83","St. John’s Lutheran Church Food Pantry","St. John’s Lutheran Church Food Pantry","6004 LINNVILLE RD","","NEWARK","OH","43056","39089","39089758600","390897586004","40.00444350","-82.36759230","",""
"84","St. Vincent de Paul Center","St. Vincent de Paul Center","135 WILSON ST","","NEWARK","OH","43055","39089","39089759000","390897590003","40.05375890","-82.40979540","",""
"85","Jacksontown United Methodist Church","Jacksontown United Methodist Church","9350 Jacksontown Road","","JACKSONTOWN","OH","43030","39089","39089758600","390897586002","39.95782340","-82.41394820","",""
"86","Salvation Army (The Emergency Pantry)","Salvation Army (The Emergency Pantry)","250 E MAIN ST","","NEWARK","OH","43055","39089","39089751000","390897510001","40.05576023","-82.41200946","",""
"87","Croton Church of Christ","Croton Church of Christ","7 Hartford Avenue","","CROTON","OH","43013","39089","39089755000","390897550003","40.23825779","-82.68496221","",""
"88","Food Pantry Network of Licking Co.","FPNLC","823 STEELE AVE","","NEWARK","OH","43055","39089","39089753300","390897533002","40.04522842","-82.43857919","",""
"89","Pleasant View United Methodist Church","Pleasant View United Methodist Church","6031 FALLSBURG RD NE","","NEWARK","OH","43055","39089","39089754400","390897544001","40.12300440","-82.34813650","",""
"91","World Gloabal Ministries","World Gloabal Ministries","69 KING AVE","","NEWARK","OH","43055","39089","39089751300","390897513003","40.06601743","-82.42353280","",""
"93","Centerburg Church of God","Centerburg Church of God","4697 COLUMBUS RD","","CENTERBURG","OH","43011","39083","39083007700","390830077004","40.31148820","-82.68628500","",""
"97","Urban Mission, God's Pantry","Urban Mission, God's Pantry","301 N 5TH ST","","STEUBENVILLE","OH","43952","39081","39081000200","390810002002","40.36385092","-80.61477610","",""
"99","The Daily Bread Center","The Daily Bread Center","418 WALNUT ST","","MARTINS FERRY","OH","43935","39013","39013012100","390130121001","40.09548322","-80.72474514","",""
"100","Good Samaritan Food Pantry","Good Samaritan Food Pantry","36 S CENTER ST","","WEST JEFFERSON","OH","43162","39097","39097040500","390970405004","39.94410910","-83.26767050","",""
"103","WARM Westerville Area Resource Ministry","WARM","150 HEATHERDOWN DR","STE A","WESTERVILLE","OH","43081","39049","39049007114","390490071141","40.12964333","-82.92627453","Westerville SD","19"
"104","Millersport Community Food Pantry","Millersport Community Food Pantry","2315 WEEKLY AVE","","MILLERSPORT","OH","43046","39045","39045030100","390450301003","39.90037882","-82.53778996","",""
"106","St John's Food Pantry","St John's Food Pantry","640 S OHIO AVE","","COLUMBUS","OH","43205","39049","39049005300","390490053002","39.95200858","-82.97122201","SSTC","4"
"107","Our Lady of Guadalupe Center","Our Lady of Guadalupe Center","441 INDUSTRY DR","","COLUMBUS","OH","43204","39049","39049008210","390490082101","39.96319896","-83.08958348","Hilltop","3"
"111","Holy Family Food Pantry","Holy Family Food Pantry","57 S GRUBB ST","","COLUMBUS","OH","43215","39049","39049004200","390490042001","39.95934438","-83.01764026","Franklinton","6"
"115","Canal Winchester Human Services","Canal Winchester Human Services","80 Covenant Way","","CANAL WINCHESTER","OH","43110","39049","39049009450","390490094502","39.85154897","-82.81668127","Canal Winchester","23"
"120","Delaware City Vineyard","FEED Food Pantry","425 S SANDUSKY ST","STE 3","DELAWARE","OH","43015","39041","39041010530","390410105302","40.28611060","-83.06805950","",""
"146","Emergency Clearing House","ECHA","469 E OHIO ST","","CIRCLEVILLE","OH","43113","39129","39129020400","391290204002","39.59274311","-82.93983721","",""
"151","First Church of God","First Church of God","3480 REFUGEE RD","","COLUMBUS","OH","43232","39049","39049009337","390490093371","39.91695974","-82.90462220","Southeast","12"
"192","Friendship Missionary Baptist Church","Friendship Missionary Baptist Church","1775 W BROAD ST","","COLUMBUS","OH","43223","39049","39049004900","390490049005","39.95623724","-83.04941501","Franklinton","6"
"200","Columbus Christian Center Food Pantry","Columbus Christian Center Food Pantry","2300 N CASSADY AVE","","COLUMBUS","OH","43219","39049","39049007550","390490075501","40.01917774","-82.92871810","Northeast","10"
"202","LSS Delaware","LSS Delaware","73 LONDON RD","","DELAWARE","OH","43015","39041","39041010530","390410105302","40.28970750","-83.07132610","",""
"203","St. Mark Emerald Food Pantry","St. Mark Emerald FP","331 GAY ST","","LANCASTER","OH","43130","39045","39045031600","390450316004","39.71239377","-82.63162193","",""
"211","Brookside Church Pantry","Brookside Church Pantry","2215 EGYPT PIKE","","CHILLICOTHE","OH","45601","39141","39141955603","391419556033","39.37562430","-83.02407590","",""
"223","Heart To Heart Pantry","Heart To Heart Pantry","1320 CAMBRIDGE BLVD","","COLUMBUS","OH","43212","39049","39049008400","390490084003","39.98287731","-83.05805473","Grandview","30"
"224","Good Samaritan Food Pantry","Good Samaritan Food Pantry","133 E 7TH ST","","CHILLICOTHE","OH","45601","39141","39141956500","391419565004","39.32884127","-82.97687025","",""
"238","Lancaster Fairfield CAA","Lancaster Fairfield CAA","1743 E MAIN ST","","LANCASTER","OH","43130","39045","39045031300","390450313002","39.71572989","-82.56288162","",""
"239","Victory Center Lancaster Pantry","Victory Center Lancaster Pantry","625 Garfield Ave","","LANCASTER","OH","43130","39045","39045031300","390450313003","39.71338019","-82.56835772","",""
"245","ACTS Community Center","ACTS Community Center","474 WOOSTER RD","","MOUNT VERNON","OH","43050","39083","39083007200","390830072005","40.41195050","-82.47010230","",""
"246","WEBA Outreach Food Pantry","WEBA Outreach Food Pantry","348 N MAIN ST ","","AMSTERDAM","OH","43903","39081","39081011100","390810111001","40.47522570","-80.92349899","",""
"247","Vineyard Church Delaware Cnty Pantry","Vineyard Church Delaware Cnty Pantry","1001 W CHERRY ST","","SUNBURY","OH","43074","39041","39041011604","390410116041","40.25307858","-82.87544153","",""
"253","ENCompass","ENCompass","College of Public Health","","COLUMBUS","OH","43210","39049","39049001122","390490011221","40.00785500","-83.02145200","OSU & Surrounding Area","16"
"260","Mid-Ohio Foodbank - Admin Account","Mid-Ohio Foodbank - Admin Account","3960 BROOKHAM DR","","GROVE CITY","OH","43123","39049","39049009720","390490097204","39.88276770","-83.05035700","Grove City","9"
"268","Cardington Food Pantry","Cardington Food Pantry","300 S MARION ST","","CARDINGTON","OH","43315","39117","39117965300","391179653003","40.49662633","-82.89395097","",""
"287","Church for All People","Church 4 All People","946 PARSONS AVE","","COLUMBUS","OH","43206","39049","39049005610","390490056101","39.94429553","-82.98286338","SSTC","4"
"306","Ministry of Salvation","Ministry of Salvation","181 SHIRLEY CIR","","STEUBENVILLE","OH","43952","39081","39081001400","390810014004","40.37070833","-80.63984233","",""
"307","Emmanual Tabernacle Produce Market","Emmanual Tabernacle Produce Market","333 N GARFIELD AVE","","COLUMBUS","OH","43203","39049","39049002900","390490029002","39.97174576","-82.97966694","Near East","8"
"314","Lancaster Vineyard Church Pantry","Lancaster Vineyard","423 W WHEELING ST","","LANCASTER","OH","43130","39045","39045031700","390450317005","39.71531530","-82.61065880","",""
"322","Yorkville UMC","Yorkville UMC","121 3RD ST","","YORKVILLE","OH","43971","39081","39081012300","390810123002","40.15892506","-80.70466433","",""
"325","Fayette County Food Pantry","Fayette Co. FP","214 N HINDE ST","","WASHINGTON COURT HOUSE","OH","43160","39047","39047926000","390479260004","39.53605468","-83.44217978","",""
"326","Mt. Vernon AME Food Pantry","Mt. Vernon AME Food Pantry","1147 MOUNT VERNON AVE","","COLUMBUS","OH","43203","39049","39049003600","390490036001","39.97235569","-82.97156875","Near East","8"
"327","Vineyard on Avery Rd. Pantry","Vineyard on Avery Rd. Pantry","5400 AVERY RD","","DUBLIN","OH","43016","39049","39049006230","390490062302","40.07653000","-83.15743000","Dublin West","33"
"332","Outreach Mission Pantry","Outreach Mission Pantry","112 LINCOLN AVE ","","PLEASANTVILLE","OH","43148","39045","39045031000","390450310001","39.80831770","-82.52148680","",""
"334","Faithcare Food Pantry","Faithcare Food Pantry","25 S MAIN ST","","JOHNSTOWN","OH","43031","39089","39089755300","390897553002","40.15286494","-82.68400127","",""
"336","Roseville Community Food Pantry","Rosevile FP","146 N MAIN ST","","ROSEVILLE","OH","43777","39119","39119912500","391199125001","39.80701512","-82.07249948","",""
"348","Mt. Sterling Community Food Pantry","Mt. Sterling Community Food Pantry","164 E MAIN ST","","MOUNT STERLING","OH","43143","39097","39097041200","390970412002","39.72206629","-83.26295982","",""
"355","Broad Street Presbyterian Pantry","Broad Street Presbyterian Pantry","760 E BROAD ST","","COLUMBUS","OH","43205","39049","39049003600","390490036002","39.96564000","-82.97989000","Near East","8"
"358","Paint Valley Ministries Pantry","Paint Valley Ministries","204 E 2ND ST","","BAINBRIDGE","OH","45612","39141","39141956900","391419569004","39.22710442","-83.26816239","",""
"359","Shadyside Fellowship Pantry","Shadyside Pantry","3838 LINCOLN AVE","","SHADYSIDE","OH","43947","39013","39013011300","390130113002","39.97188927","-80.74599822","",""
"371","Pleasant City Food Pantry","Pleasant City FP","110 Mill Street","","PLEASANT CITY","OH","43772","39059","39059978000","390599780004","39.90383484","-81.54550001","",""
"372","Abundant Life","Abundant Life","3400 FRANKLIN ST","","BELLAIRE","OH","43906","39013","39013011600","390130116002","40.01719290","-80.74705272","",""
"404","Living Water Food Pantry","Living Water FP","287 Fair Street","","QUAKER CITY","OH","43773","39059","39059977100","390599771004","39.96972394","-81.29461663","",""
"405","Mount Hermon Baptist Church","Mt. Hermon Baptist","2283 SUNBURY RD","","COLUMBUS","OH","43219","39049","39049007550","390490075502","40.01722005","-82.93407047","Northeast","10"
"407","The Father's House International Food Pantry","The Father's House","9670 SCHOOLHOUSE RD","","CANAL WINCHESTER","OH","43110","39045","39045033000","390450330001","39.87155800","-82.78033673","",""
"417","Lewisville Community Center Food Pantry","Lewisville CCFP","33261 Back Street","","LEWISVILLE","OH","43754","39111","39111966800","391119668001","39.76408194","-81.21739790","",""
"418","Storehouse for Jesus Pataskala Nazarene Church","Storehouse for Jesus","8100 HAZELTON ETNA RD SW","","PATASKALA","OH","43062","39089","39089756500","390897565002","39.97474450","-82.68251990","",""
"419","Westland Ecumenical Community Food Pantry","Westland ECFP","775 GALLOWAY RD","","GALLOWAY","OH","43119","39049","39049008162","390490081622","39.93555666","-83.15838190","Galloway","13"
"432","Helping Eastside and Rey-Ne Today","HEART","6475 East Main St","Suite 126","REynoldsburg","OH","43068","39049","39049007395","390490073951","39.98712430","-82.83045534","Reynoldsburg","14"
"446","Heritage Memorial Food Pantry","Heritage Memorial FP","412 ROSE AVE","","WASHINGTON COURT HOUSE","OH","43160","39047","39047926100","390479261002","39.54493967","-83.44388593","",""
"447","Sardis Manna","Sardis Manna","37240 5TH AVE","","SARDIS","OH","43946","39111","39111966600","391119666004","39.62266755","-80.91023600","",""
"448","Calvary Road Community Food Pantry","Calvary Rd Community FP","5108 NORTON RD","","GROVE CITY","OH","43123","39049","39049009800","390490098003","39.86176882","-83.17015774","South Franklin County","25"
"449","H.E.L.P. House","H.E.L.P. House","122 E CENTER ST","","LONDON","OH","43140","39097","39097040700","390970407001","39.88468243","-83.44066987","",""
"452","Marysville Food Pantry","Marysville FP","333 ASH ST","","MARYSVILLE","OH","43040","39159","39159050400","391590504002","40.23351010","-83.37155069","",""
"462","Bridgeport Council of Churches Pantry","Bridgeport Pantry","828 MAIN ST","","BRIDGEPORT","OH","43912","39013","39013010100","390130101006","40.07086398","-80.75457464","",""
"464","St. Clairsville Food Pantry","St. Clairsville FP","102 ST Patrick","","SAINT CLAIRSVILLE","OH","43950","39013","39013012300","390130123003","40.07939777","-80.90273753","",""
"466","Bread of Life Choice Pantry (New Salem Baptist)","Bread of Life Choice Pantry","2956 CLEVELAND AVE","","COLUMBUS","OH","43224","39049","39049000820","390490008201","40.02788192","-82.96421073","Linden","1"
"467","Community Blessing","Community Blessing","3171 SCHWARTZ RD","","COLUMBUS","OH","43232","39049","39049009430","390490094301","39.90721519","-82.91105260","Southeast","12"
"469","Livingston Avenue UMC Food Pantry","Livingstone Ave UMC FP","200 E LIVINGSTON AVE","","COLUMBUS","OH","43215","39049","39049004000","390490040001","39.95273262","-82.99313415","Downtown","18"
"470","Refuge Baptist Food Pantry","Refuge Baptist FP","400 N 20TH ST","","COLUMBUS","OH","43203","39049","39049002900","390490029002","39.97390611","-82.97311275","Near East","8"
"479","Victory Ministries Pantry","Victory Ministries Pantry","3964 E MAIN ST","","COLUMBUS","OH","43213","39049","39049009230","390490092304","39.99551561","-82.92829614","Far East","5"
"480","Tabernacle Baptist","Tabernacle Baptist","2188 WOODWARD AVE","","COLUMBUS","OH","43219","39049","39049002510","390490025103","39.99243970","-82.94709210","Northeast","10"
"481","St. Vincent depaul Society- Lancaster","St. Vincent depaul Society- Lancaster","424 E LOCUST ST","","LANCASTER","OH","43130","39045","39045032200","390450322003","39.70957779","-82.59529603","",""
"483","Scio Community Food Pantry   ","Scio Community Food Pantry   ","117 MAPLE AVENUE    ","","SCIO","OH","43988","39067","39067975700","390679757001","40.39942866","-81.08984417","",""
"484","Grace Pantry","Grace Pantry","1101 STEUBENVILLE AVE","","CAMBRIDGE","OH","43725","39059","39059977600","390599776002","40.02612310","-81.58454600","",""
"485","Salvation Army Zanesville Pantry  ","Salvation Army Zanesville Pantry  ","515 PUTNAM AVE","","ZANESVILLE","OH","43701","39119","39119912100","391199121002","39.93115270","-82.00730040","",""
"493","Smithfield Friends Pantry","Smithfield Friends Pantry","1599 Main St","","SMITHFIELD","OH","43948","39081","39081012000","390810120001","40.26851856","-80.78303164","",""
"494","Harcatus Pantry","Harcatus Pantry","142 E WARREN ST","","CADIZ","OH","43907","39067","39067976000","390679760004","40.27110213","-80.99777939","",""
"495","Measure of Manna","Measure of Manna","5075 CLEVELAND AVE","","COLUMBUS","OH","43231","39049","39049006932","390490069321","40.07427271","-82.95193391","161 and Karl","7"
"499","Cadiz Food Pantry","Cadiz Food Pantry","781 E MARKET ST","","CADIZ","OH","43907","39067","39067976000","390679760001","40.26382165","-80.98027903","",""
"501","Power of Prayer   ","Power of Prayer","2155 CURTIS ST","","COLUMBUS","OH","43207","39049","39049008811","390490088111","39.91870399","-82.98229239","Sub South Side","11"
"502","Salvation Army East Main Choice FP ","SA - East Main Choice FP ","966 E MAIN ST","","COLUMBUS","OH","43205","39049","39049005300","390490053003","39.95800777","-82.97354855","SSTC","4"
"503","Bibleway Food Pantry","Bibleway Food Pantry","453 S WHEATLAND AVE","","COLUMBUS","OH","43204","39049","39049004700","390490047002","39.94624061","-83.06141142","Hilltop","3"
"505","Salvation Army Hilltop Pantry","SA - Hilltop Pantry","2300 W MOUND ST","","COLUMBUS","OH","43204","39049","39049004820","390490048202","39.93951283","-83.05929646","Hilltop","3"
"506","Central College Church Pantry  ","Central College Church Pantry  ","975 S SUNBURY RD","","WESTERVILLE","OH","43081","39049","39049007194","390490071943","40.10187988","-82.88865260","Westerville SD","19"
"508","CRC Clintonville/Beechwold","CRC Clintonville/Beechwold    ","14 W LAKEVIEW AVE","","COLUMBUS","OH","43202","39049","39049000410","390490004101","40.02754977","-83.01511704","CRC Footprint","20"
"511","Higher Ground Food Pantry   ","Higher Ground Food Pantry   ","870 SAINT CLAIR AVE","","COLUMBUS","OH","43201","39049","39049002300","390490023002","39.98266327","-82.97991477","Linden","1"
"512","Grace Food Pantry/Foundations for Families","Grace Food Pantry","1889 GENESSEE AVE","","COLUMBUS","OH","43211","39049","39049000920","390490009201","40.01868845","-82.96012659","Linden","1"
"514","Ebenezer UMC Food Pantry","Ebenezer UMC Food Pantry","3330 CLEVELAND AVE","","COLUMBUS","OH","43224","39049","39049007710","390490077101","40.03523575","-82.96336017","Linden","1"
"515","NNEMAP       ","NNEMAP       ","677 E 11TH AVE","","COLUMBUS","OH","43211","39049","39049001400","390490014002","39.99388104","-82.98828972","Linden","1"
"516","Epworth UMC Food Pantry   ","Epworth UMC Food Pantry   ","5100 KARL RD","","COLUMBUS","OH","43229","39049","39049006932","390490069323","40.07185337","-82.97637046","161 and Karl","7"
